Aired,Aired
1968-09-03,9/3/1968
1991-11-21,11/21/1991
1987-03-05,3/5/1987
2009-09-19,9/19/2009
2009-09-19,9/19/2009
2007-09-21,9/21/2007
1990-07-06,7/6/1990
1988-03-14,3/14/1988
2004-08-04,8/4/2004
1999-10-01,10/1/1999
1980-07-19,7/19/1980
1986-08-27,8/27/1986
1981-08-01,8/1/1981
1992-03-07,3/7/1992
1999-08-01,8/1/1999
1990-08-25,8/25/1990
2006-04-02,4/2/2006
1993-02-25,2/25/1993
1977-02-03,2/3/1977
1993-07-07,7/7/1993
1992-01-07,1/7/1992
1986-10-05,10/5/1986
1905-06-17,6/17/1905
1995-12-23,12/23/1995
1993-09-25,9/25/1993
1996-03-01,3/1/1996
2009-07-07,7/7/2009
2005-04-22,4/22/2005
2009-10-05,10/5/2009
2010-04-07,4/7/2010
2009-03-27,3/27/2009
2009-04-01,4/1/2009
2009-04-04,4/4/2009
2009-03-30,3/30/2009
2009-02-25,2/25/2009
2009-02-13,2/13/2009
1981-12-04,12/4/1981
2009-02-03,2/3/2009
2009-06-25,6/25/2009
2009-03-31,3/31/2009
2009-04-01,4/1/2009
1991-03-08,3/8/1991
2004-10-01,10/1/2004
2009-04-24,4/24/2009
1995-01-08,1/8/1995
2007-10-01,10/1/2007
2009-04-16,4/16/2009
2005-09-14,9/14/2005
2003-01-25,1/25/2003
1905-06-25,6/25/1905
2009-01-16,1/16/2009
2009-10-16,10/16/2009
2009-01-09,1/9/2009
2009-07-02,7/2/2009
2009-10-03,10/3/2009
2010-07-11,7/11/2010
2009-04-18,4/18/2009
2009-06-24,6/24/2009
2009-12-19,12/19/2009
2009-07-18,7/18/2009
2006-09-27,9/27/2006
2006-08-01,8/1/2006
2006-08-01,8/1/2006
1989-11-08,11/8/1989
2009-08-10,8/10/2009
2009-04-28,4/28/2009
2009-05-29,5/29/2009
2010-11-01,11/1/2010
1905-06-30,6/30/1905
2008-03-04,3/4/2008
2009-07-06,7/6/2009
1978-09-23,9/23/1978
2009-10-08,10/8/2009
2009-10-02,10/2/2009
2009-04-04,4/4/2009
1995-01-25,1/25/1995
2009-07-10,7/10/2009
2009-10-03,10/3/2009
2009-03-14,3/14/2009
1995-04-15,4/15/1995
2012-05-19,5/19/2012
2009-03-13,3/13/2009
2006-11-22,11/22/2006
2007-03-28,3/28/2007
1993-12-01,12/1/1993
1997-02-21,2/21/1997
2009-04-18,4/18/2009
2008-03-25,3/25/2008
2005-04-29,4/29/2005
2001-01-25,1/25/2001
2000-03-01,3/1/2000
2008-01-25,1/25/2008
1979-10-06,10/6/1979
1976-10-07,10/7/1976
2006-08-01,8/1/2006
2007-01-30,1/30/2007
2007-06-29,6/29/2007
2006-08-01,8/1/2006
2006-08-01,8/1/2006
2006-08-01,8/1/2006
2006-08-01,8/1/2006
2009-04-12,4/12/2009
1990-03-01,3/1/1990
1976-01-07,1/7/1976
2010-07-17,7/17/2010
2009-07-11,7/11/2009
2009-03-23,3/23/2009
2009-10-23,10/23/2009
2010-09-18,9/18/2010
2005-07-06,7/6/2005
1994-01-28,1/28/1994
2008-11-22,11/22/2008
2009-03-25,3/25/2009
1967-04-02,4/2/1967
2003-01-25,1/25/2003
2001-07-14,7/14/2001
1971-10-04,10/4/1971
2008-08-22,8/22/2008
2009-04-05,4/5/2009
2010-01-07,1/7/2010
2009-08-01,8/1/2009
2009-08-18,8/18/2009
2003-08-08,8/8/2003
2006-01-25,1/25/2006
1988-07-03,7/3/1988
2010-03-12,3/12/2010
2009-06-26,6/26/2009
2009-08-05,8/5/2009
1989-10-14,10/14/1989
2010-01-07,1/7/2010
2009-07-01,7/1/2009
2008-11-08,11/8/2008
2007-08-24,8/24/2007
1986-03-21,3/21/1986
2009-03-27,3/27/2009
2009-11-28,11/28/2009
1978-10-01,10/1/1978
1979-10-07,10/7/1979
2009-07-05,7/5/2009
2009-10-06,10/6/2009
2009-07-22,7/22/2009
2010-07-08,7/8/2010
1974-04-01,4/1/1974
1991-06-21,6/21/1991
2000-01-01,1/1/2000
1991-08-28,8/28/1991
2009-04-24,4/24/2009
1974-10-06,10/6/1974
2009-05-27,5/27/2009
2008-05-10,5/10/2008
2009-04-24,4/24/2009
2010-05-01,5/1/2010
2000-09-20,9/20/2000
1905-06-16,6/16/1905
1905-06-27,6/27/1905
1989-08-16,8/16/1989
2009-08-26,8/26/2009
2009-04-25,4/25/2009
2009-06-06,6/6/2009
1983-07-06,7/6/1983
1905-04-14,4/14/1905
2009-04-24,4/24/2009
2009-06-17,6/17/2009
2009-07-06,7/6/2009
2009-10-03,10/3/2009
1999-09-25,9/25/1999
1965-06-03,6/3/1965
1983-01-21,1/21/1983
1997-04-19,4/19/1997
1983-12-24,12/24/1983
2006-01-03,1/3/2006
2009-05-23,5/23/2009
2010-04-17,4/17/2010
1971-09-25,9/25/1971
1994-08-15,8/15/1994
2009-06-24,6/24/2009
2009-04-07,4/7/2009
2008-04-01,4/1/2008
1997-07-29,7/29/1997
2008-09-25,9/25/2008
2009-05-01,5/1/2009
1994-06-22,6/22/1994
1997-07-12,7/12/1997
2010-01-10,1/10/2010
2003-04-20,4/20/2003
1988-03-27,3/27/1988
1999-02-03,2/3/1999
2009-10-02,10/2/2009
2009-04-29,4/29/2009
2008-12-20,12/20/2008
2007-12-15,12/15/2007
1997-07-12,7/12/1997
1997-07-07,7/7/1997
2006-10-01,10/1/2006
2003-11-27,11/27/2003
2004-11-24,11/24/2004
2009-05-14,5/14/2009
2009-10-31,10/31/2009
2009-08-21,8/21/2009
2009-05-25,5/25/2009
2008-03-05,3/5/2008
1905-05-16,5/16/1905
2007-11-11,11/11/2007
2010-04-03,4/3/2010
2009-05-27,5/27/2009
1905-06-30,6/30/1905
2009-06-20,6/20/2009
2009-08-01,8/1/2009
1993-10-09,10/9/1993
2009-08-25,8/25/2009
2000-01-03,1/3/2000
2008-07-30,7/30/2008
2008-12-23,12/23/2008
2009-05-21,5/21/2009
1999-08-01,8/1/1999
2009-10-23,10/23/2009
2009-10-09,10/9/2009
2010-01-11,1/11/2010
1988-02-05,2/5/1988
2002-11-25,11/25/2002
2010-01-06,1/6/2010
2009-10-03,10/3/2009
1992-05-17,5/17/1992
2009-10-04,10/4/2009
2009-04-03,4/3/2009
2009-06-20,6/20/2009
1905-06-29,6/29/1905
1997-07-05,7/5/1997
2010-01-26,1/26/2010
2009-07-05,7/5/2009
2009-04-28,4/28/2009
2006-09-08,9/8/2006
2009-10-09,10/9/2009
2009-05-31,5/31/2009
2002-06-25,6/25/2002
2009-03-14,3/14/2009
2001-07-07,7/7/2001
2007-04-21,4/21/2007
1982-01-25,1/25/1982
1982-03-13,3/13/1982
2009-09-24,9/24/2009
2010-07-11,7/11/2010
2009-08-28,8/28/2009
1984-02-03,2/3/1984
2010-03-13,3/13/2010
2009-09-10,9/10/2009
2010-01-04,1/4/2010
1980-03-15,3/15/1980
2017-06-30,6/30/2017
2006-05-25,5/25/2006
2009-03-18,3/18/2009
2005-12-14,12/14/2005
1905-06-29,6/29/1905
2009-08-22,8/22/2009
1979-07-21,7/21/1979
1984-03-04,3/4/1984
1991-10-03,10/3/1991
2009-08-14,8/14/2009
2009-10-01,10/1/2009
1905-05-29,5/29/1905
2009-10-07,10/7/2009
2009-06-02,6/2/2009
2009-06-25,6/25/2009
2009-06-26,6/26/2009
2009-06-12,6/12/2009
2009-05-09,5/9/2009
2009-07-10,7/10/2009
2009-07-25,7/25/2009
2009-07-31,7/31/2009
2009-08-14,8/14/2009
2009-08-22,8/22/2009
2009-08-28,8/28/2009
2004-08-06,8/6/2004
1974-10-04,10/4/1974
2009-10-12,10/12/2009
2009-06-25,6/25/2009
2009-06-25,6/25/2009
2010-07-02,7/2/2010
2002-04-01,4/1/2002
2009-10-05,10/5/2009
1990-11-07,11/7/1990
1992-01-28,1/28/1992
1994-11-21,11/21/1994
2006-12-19,12/19/2006
2009-06-28,6/28/2009
1981-04-04,4/4/1981
1981-05-05,5/5/1981
1982-06-05,6/5/1982
1986-04-16,4/16/1986
1979-10-11,10/11/1979
1980-04-03,4/3/1980
1980-10-02,10/2/1980
2009-05-22,5/22/2009
2006-02-23,2/23/2006
2009-06-24,6/24/2009
2010-01-08,1/8/2010
2010-01-07,1/7/2010
2009-06-14,6/14/2009
2003-12-21,12/21/2003
2009-10-02,10/2/2009
1988-12-24,12/24/1988
1989-02-04,2/4/1989
1989-04-08,4/8/1989
1989-06-24,6/24/1989
2009-07-24,7/24/2009
1930-10-14,10/14/1930
1986-10-15,10/15/1986
2010-05-29,5/29/2010
2011-10-08,10/8/2011
2009-10-15,10/15/2009
2002-06-01,6/1/2002
1993-04-05,4/5/1993
2008-09-26,9/26/2008
2010-12-25,12/25/2010
2009-10-04,10/4/2009
1990-10-25,10/25/1990
2009-09-30,9/30/2009
2009-12-22,12/22/2009
2008-10-11,10/11/2008
1991-10-24,10/24/1991
1905-06-21,6/21/1905
2007-11-29,11/29/2007
1986-04-01,4/1/1986
2010-01-05,1/5/2010
2008-08-08,8/8/2008
2009-10-04,10/4/2009
2009-06-29,6/29/2009
1934-04-13,4/13/1934
1905-04-19,4/19/1905
1905-04-19,4/19/1905
1936-06-06,6/6/1936
1905-04-18,4/18/1905
1905-04-18,4/18/1905
1905-04-18,4/18/1905
1935-11-09,11/9/1935
1935-03-26,3/26/1935
1935-09-12,9/12/1935
1935-05-08,5/8/1935
1934-06-26,6/26/1934
1905-04-17,4/17/1905
1905-04-19,4/19/1905
1905-04-19,4/19/1905
1938-12-05,12/5/1938
1905-04-22,4/22/1905
1941-02-01,2/1/1941
1905-04-25,4/25/1905
1905-05-01,5/1/1905
1905-05-03,5/3/1905
1905-04-25,4/25/1905
1905-04-17,4/17/1905
1905-04-16,4/16/1905
1905-04-16,4/16/1905
1905-04-14,4/14/1905
1905-05-17,5/17/1905
2008-11-05,11/5/2008
1943-03-25,3/25/1943
2009-06-17,6/17/2009
2010-01-19,1/19/2010
2010-04-23,4/23/2010
2009-11-07,11/7/2009
1973-04-02,4/2/1973
1966-07-21,7/21/1966
2010-10-01,10/1/2010
2003-07-18,7/18/2003
2008-10-31,10/31/2008
2011-04-17,4/17/2011
2009-07-24,7/24/2009
2010-03-26,3/26/2010
2009-10-07,10/7/2009
2009-09-02,9/2/2009
1979-02-03,2/3/1979
2009-08-07,8/7/2009
2009-09-11,9/11/2009
2009-09-25,9/25/2009
2009-10-30,10/30/2009
2010-04-04,4/4/2010
2009-07-24,7/24/2009
2009-10-13,10/13/2009
2009-10-12,10/12/2009
2009-09-13,9/13/2009
2010-04-04,4/4/2010
2001-12-21,12/21/2001
2006-01-22,1/22/2006
1905-06-14,6/14/1905
2009-09-05,9/5/2009
1987-10-10,10/10/1987
2011-01-07,1/7/2011
2011-04-01,4/1/2011
2011-07-01,7/1/2011
2010-01-23,1/23/2010
2009-09-26,9/26/2009
2009-03-07,3/7/2009
2009-10-23,10/23/2009
1905-06-12,6/12/1905
1997-04-12,4/12/1997
2006-09-30,9/30/2006
2009-10-12,10/12/2009
1980-08-12,8/12/1980
2008-09-21,9/21/2008
2010-02-26,2/26/2010
2009-08-09,8/9/2009
2009-08-07,8/7/2009
1905-05-17,5/17/1905
2010-01-23,1/23/2010
1905-05-15,5/15/1905
2011-02-02,2/2/2011
2010-04-04,4/4/2010
2009-10-08,10/8/2009
2010-04-02,4/2/2010
2009-10-27,10/27/2009
1993-07-17,7/17/1993
1977-07-03,7/3/1977
1971-10-07,10/7/1971
2010-04-06,4/6/2010
2010-07-06,7/6/2010
2001-10-01,10/1/2001
1981-07-27,7/27/1981
2010-07-03,7/3/2010
2009-10-13,10/13/2009
1992-10-09,10/9/1992
2009-03-25,3/25/2009
2009-10-17,10/17/2009
2009-10-30,10/30/2009
2009-12-18,12/18/2009
2010-03-06,3/6/2010
1965-05-08,5/8/1965
2009-08-03,8/3/2009
1957-05-13,5/13/1957
1959-04-09,4/9/1959
2009-05-26,5/26/2009
1992-10-15,10/15/1992
2011-05-28,5/28/2011
2009-08-05,8/5/2009
2009-07-29,7/29/2009
1905-05-13,5/13/1905
1905-05-14,5/14/1905
1905-05-22,5/22/1905
1905-05-20,5/20/1905
1905-05-25,5/25/1905
1905-05-18,5/18/1905
1905-05-30,5/30/1905
1905-05-27,5/27/1905
1905-05-18,5/18/1905
1905-05-21,5/21/1905
1905-05-19,5/19/1905
1905-05-14,5/14/1905
2008-11-03,11/3/2008
2009-11-17,11/17/2009
2000-03-04,3/4/2000
2003-02-02,2/2/2003
1988-10-12,10/12/1988
2009-11-20,11/20/2009
2010-04-02,4/2/2010
2010-04-12,4/12/2010
2010-07-24,7/24/2010
2009-08-29,8/29/2009
2010-01-08,1/8/2010
2009-10-17,10/17/2009
1905-04-16,4/16/1905
2010-01-08,1/8/2010
2011-03-02,3/2/2011
2009-10-03,10/3/2009
2008-12-29,12/29/2008
2010-04-03,4/3/2010
1990-08-10,8/10/1990
2009-10-23,10/23/2009
2009-10-05,10/5/2009
1981-03-01,3/1/1981
2009-08-05,8/5/2009
2001-04-07,4/7/2001
2010-09-23,9/23/2010
2006-06-17,6/17/2006
2009-08-25,8/25/2009
1905-05-31,5/31/1905
2004-03-31,3/31/2004
1992-03-27,3/27/1992
2011-08-27,8/27/2011
1990-03-01,3/1/1990
2009-12-12,12/12/2009
2010-01-05,1/5/2010
2009-10-05,10/5/2009
2001-10-21,10/21/2001
1989-05-25,5/25/1989
1985-03-16,3/16/1985
1993-07-10,7/10/1993
1994-07-09,7/9/1994
1984-09-01,9/1/1984
1989-08-25,8/25/1989
1905-06-24,6/24/1905
1905-06-12,6/12/1905
1905-06-01,6/1/1905
1905-05-25,5/25/1905
2009-10-03,10/3/2009
2009-10-07,10/7/2009
2009-10-07,10/7/2009
2009-10-10,10/10/2009
2009-10-25,10/25/2009
2009-09-25,9/25/2009
2009-10-03,10/3/2009
1986-07-05,7/5/1986
2009-10-11,10/11/2009
2009-12-02,12/2/2009
1990-06-10,6/10/1990
2011-02-26,2/26/2011
2001-01-08,1/8/2001
2009-06-01,6/1/2009
1905-06-09,6/9/1905
1905-06-11,6/11/1905
1995-04-07,4/7/1995
2009-04-06,4/6/2009
2000-11-25,11/25/2000
1981-07-21,7/21/1981
2010-01-04,1/4/2010
1905-05-21,5/21/1905
1974-01-01,1/1/1974
1905-05-26,5/26/1905
1905-05-23,5/23/1905
2008-03-01,3/1/2008
2009-09-25,9/25/2009
2009-10-25,10/25/2009
2010-01-15,1/15/2010
2009-12-18,12/18/2009
2009-12-21,12/21/2009
2009-10-27,10/27/2009
1905-06-07,6/7/1905
2009-12-25,12/25/2009
2009-10-02,10/2/2009
2009-09-09,9/9/2009
1967-03-19,3/19/1967
1991-08-30,8/30/1991
2006-02-15,2/15/2006
2004-04-07,4/7/2004
2007-12-17,12/17/2007
2004-04-30,4/30/2004
1905-06-28,6/28/1905
1985-10-12,10/12/1985
1979-09-15,9/15/1979
2010-02-06,2/6/2010
2009-09-12,9/12/2009
2009-11-27,11/27/2009
2001-12-15,12/15/2001
2002-12-14,12/14/2002
2007-04-08,4/8/2007
2010-05-23,5/23/2010
1980-12-20,12/20/1980
2010-06-05,6/5/2010
2010-01-27,1/27/2010
1905-06-19,6/19/1905
1933-04-13,4/13/1933
1905-06-29,6/29/1905
1992-07-11,7/11/1992
1995-02-01,2/1/1995
2009-10-12,10/12/2009
1990-09-07,9/7/1990
2009-10-23,10/23/2009
1979-03-03,3/3/1979
2009-10-17,10/17/2009
2005-10-04,10/4/2005
2005-05-27,5/27/2005
1975-10-01,10/1/1975
1991-04-04,4/4/1991
2009-12-25,12/25/2009
2009-06-30,6/30/2009
1905-07-01,7/1/1905
1989-10-19,10/19/1989
2005-09-23,9/23/2005
1905-06-27,6/27/1905
2007-06-06,6/6/2007
1905-06-27,6/27/1905
1991-07-20,7/20/1991
1992-03-07,3/7/1992
1905-06-14,6/14/1905
1905-06-14,6/14/1905
1994-04-04,4/4/1994
1905-06-16,6/16/1905
1905-06-17,6/17/1905
1905-06-17,6/17/1905
2001-06-04,6/4/2001
2009-08-25,8/25/2009
2009-12-25,12/25/2009
2010-01-29,1/29/2010
2010-01-29,1/29/2010
1905-06-28,6/28/1905
2009-11-07,11/7/2009
2009-12-05,12/5/2009
2010-03-06,3/6/2010
2003-05-01,5/1/2003
2009-10-23,10/23/2009
1905-06-27,6/27/1905
2010-04-24,4/24/2010
1981-10-07,10/7/1981
2002-10-25,10/25/2002
1989-11-14,11/14/1989
1905-06-10,6/10/1905
1973-10-03,10/3/1973
1987-02-26,2/26/1987
2018-02-01,2/1/2018
1905-06-14,6/14/1905
1996-04-20,4/20/1996
1905-04-07,4/7/1905
1905-04-08,4/8/1905
1905-04-09,4/9/1905
2027-02-11,2/11/2027
2028-09-04,9/4/2028
1937-10-27,10/27/1937
1940-09-19,9/19/1940
1905-06-25,6/25/1905
1995-04-07,4/7/1995
2005-07-08,7/8/2005
2005-04-05,4/5/2005
2004-12-08,12/8/2004
2006-10-02,10/2/2006
2007-04-29,4/29/2007
1944-11-09,11/9/1944
1905-04-29,4/29/1905
2002-02-18,2/18/2002
1949-10-01,10/1/1949
1951-02-01,2/1/1951
1952-12-01,12/1/1952
1953-03-01,3/1/1953
1954-10-01,10/1/1954
1955-12-26,12/26/1955
1956-07-01,7/1/1956
2009-01-17,1/17/2009
2009-08-26,8/26/2009
2006-12-09,12/9/2006
2010-02-11,2/11/2010
2007-08-01,8/1/2007
1976-04-04,4/4/1976
2010-01-17,1/17/2010
2010-01-09,1/9/2010
2009-10-23,10/23/2009
1905-06-27,6/27/1905
2004-08-18,8/18/2004
2009-10-09,10/9/2009
1986-10-06,10/6/1986
1996-03-02,3/2/1996
1905-06-24,6/24/1905
2010-03-26,3/26/2010
2010-01-29,1/29/2010
2010-01-15,1/15/2010
2009-12-21,12/21/2009
2010-04-16,4/16/2010
2010-04-06,4/6/2010
2010-03-25,3/25/2010
2010-07-06,7/6/2010
2010-04-05,4/5/2010
2010-03-17,3/17/2010
2010-01-29,1/29/2010
2010-08-28,8/28/2010
1993-10-01,10/1/1993
1989-10-02,10/2/1989
1961-07-19,7/19/1961
2010-02-26,2/26/2010
2010-02-12,2/12/2010
1905-06-24,6/24/1905
1905-06-25,6/25/1905
1996-01-07,1/7/1996
1958-11-01,11/1/1958
1992-06-07,6/7/1992
1979-04-04,4/4/1979
2010-07-03,7/3/2010
2006-08-31,8/31/2006
1905-06-16,6/16/1905
1996-04-06,4/6/1996
1998-12-22,12/22/1998
2010-02-07,2/7/2010
2009-12-01,12/1/2009
2010-04-05,4/5/2010
2009-12-12,12/12/2009
2009-12-11,12/11/2009
2010-04-03,4/3/2010
2009-11-27,11/27/2009
2010-04-04,4/4/2010
2010-10-03,10/3/2010
1981-10-01,10/1/1981
1981-07-18,7/18/1981
1983-03-13,3/13/1983
2009-12-18,12/18/2009
2009-12-26,12/26/2009
2010-10-02,10/2/2010
1993-04-05,4/5/1993
1905-06-22,6/22/1905
2009-12-03,12/3/2009
2010-07-10,7/10/2010
1992-01-25,1/25/1992
1993-03-20,3/20/1993
1994-04-09,4/9/1994
2010-12-23,12/23/2010
2010-02-26,2/26/2010
2002-10-07,10/7/2002
2010-07-17,7/17/2010
2010-02-26,2/26/2010
1905-05-25,5/25/1905
2000-04-01,4/1/2000
2009-01-01,1/1/2009
2010-04-02,4/2/2010
2009-10-02,10/2/2009
2009-12-21,12/21/2009
2010-07-09,7/9/2010
1905-06-22,6/22/1905
1979-07-21,7/21/1979
2009-12-20,12/20/2009
2010-06-25,6/25/2010
2009-12-22,12/22/2009
2009-12-18,12/18/2009
2010-07-16,7/16/2010
2010-07-30,7/30/2010
2003-02-17,2/17/2003
2003-10-01,10/1/2003
1905-06-21,6/21/1905
2009-09-02,9/2/2009
2010-01-05,1/5/2010
2010-02-23,2/23/2010
2010-10-07,10/7/2010
2010-07-01,7/1/2010
2009-12-29,12/29/2009
1977-09-10,9/10/1977
2010-07-07,7/7/2010
2007-08-15,8/15/2007
1971-01-03,1/3/1971
2012-11-01,11/1/2012
2009-12-23,12/23/2009
2010-04-23,4/23/2010
1962-06-16,6/16/1962
2010-04-07,4/7/2010
2010-04-02,4/2/2010
2008-02-10,2/10/2008
2009-12-24,12/24/2009
1980-07-12,7/12/1980
1980-04-15,4/15/1980
2005-08-20,8/20/2005
1905-06-25,6/25/1905
1905-06-17,6/17/1905
1993-06-03,6/3/1993
2010-04-02,4/2/2010
1988-12-21,12/21/1988
1990-11-22,11/22/1990
1905-06-16,6/16/1905
1905-06-30,6/30/1905
1989-10-14,10/14/1989
1905-06-28,6/28/1905
2009-07-01,7/1/2009
2010-09-09,9/9/2010
1980-09-10,9/10/1980
2004-07-15,7/15/2004
1985-07-23,7/23/1985
2012-04-02,4/2/2012
2010-04-23,4/23/2010
2009-11-25,11/25/2009
1982-10-06,10/6/1982
2003-07-23,7/23/2003
2008-01-25,1/25/2008
2010-02-11,2/11/2010
1994-07-23,7/23/1994
2009-08-26,8/26/2009
2010-01-09,1/9/2010
1998-09-25,9/25/1998
1990-12-01,12/1/1990
1994-10-07,10/7/1994
1905-06-28,6/28/1905
2009-12-15,12/15/2009
2004-04-04,4/4/2004
1982-10-07,10/7/1982
2001-04-11,4/11/2001
1993-08-06,8/6/1993
2010-05-28,5/28/2010
2010-04-23,4/23/2010
1971-09-01,9/1/1971
1985-04-01,4/1/1985
2006-01-18,1/18/2006
2000-10-28,10/28/2000
1982-02-13,2/13/1982
2010-03-26,3/26/2010
2010-01-27,1/27/2010
2010-01-29,1/29/2010
2010-02-06,2/6/2010
2010-04-28,4/28/2010
2010-04-07,4/7/2010
2010-03-19,3/19/2010
1963-09-04,9/4/1963
2009-10-07,10/7/2009
2010-03-26,3/26/2010
2010-01-27,1/27/2010
2011-03-22,3/22/2011
2010-03-25,3/25/2010
1990-10-03,10/3/1990
2010-01-31,1/31/2010
2010-07-05,7/5/2010
2010-07-02,7/2/2010
2007-08-24,8/24/2007
2009-03-12,3/12/2009
2010-07-02,7/2/2010
1997-09-20,9/20/1997
2010-02-12,2/12/2010
2010-12-25,12/25/2010
2010-10-08,10/8/2010
2010-07-23,7/23/2010
2003-12-13,12/13/2003
2004-12-23,12/23/2004
2010-04-30,4/30/2010
2010-04-30,4/30/2010
2010-02-18,2/18/2010
1995-10-10,10/10/1995
1992-04-09,4/9/1992
2010-10-15,10/15/2010
1984-09-08,9/8/1984
2010-02-27,2/27/2010
2010-03-20,3/20/2010
2010-02-27,2/27/2010
1974-04-05,4/5/1974
1989-07-21,7/21/1989
2010-07-31,7/31/2010
2010-08-21,8/21/2010
2011-04-15,4/15/2011
2008-12-20,12/20/2008
1996-07-06,7/6/1996
1968-07-21,7/21/1968
1980-07-12,7/12/1980
1985-12-21,12/21/1985
1986-03-15,3/15/1986
1986-07-12,7/12/1986
1986-12-20,12/20/1986
1997-03-08,3/8/1997
1997-07-12,7/12/1997
1988-02-08,2/8/1988
1987-02-21,2/21/1987
2010-03-17,3/17/2010
2009-05-01,5/1/2009
2010-02-26,2/26/2010
1983-04-07,4/7/1983
2007-04-25,4/25/2007
1991-11-16,11/16/1991
1967-09-18,9/18/1967
1973-10-06,10/6/1973
1967-04-04,4/4/1967
2009-11-08,11/8/2009
2005-01-07,1/7/2005
2010-04-26,4/26/2010
2007-11-11,11/11/2007
2010-01-02,1/2/2010
1989-04-15,4/15/1989
1999-10-03,10/3/1999
2010-03-05,3/5/2010
2010-06-23,6/23/2010
2006-02-25,2/25/2006
2010-04-04,4/4/2010
1996-07-06,7/6/1996
2010-02-25,2/25/2010
1976-10-01,10/1/1976
1987-05-05,5/5/1987
1991-10-04,10/4/1991
1992-04-23,4/23/1992
2010-04-03,4/3/2010
1905-06-13,6/13/1905
2000-10-08,10/8/2000
1989-07-15,7/15/1989
1990-03-10,3/10/1990
1997-03-08,3/8/1997
2003-08-05,8/5/2003
2010-03-26,3/26/2010
2009-10-23,10/23/2009
1992-05-21,5/21/1992
1969-10-05,10/5/1969
1972-01-09,1/9/1972
1982-05-05,5/5/1982
1975-10-03,10/3/1975
2011-01-04,1/4/2011
2010-04-24,4/24/2010
2010-01-12,1/12/2010
2010-08-21,8/21/2010
2010-07-31,7/31/2010
2010-12-04,12/4/2010
2010-11-06,11/6/2010
2010-12-04,12/4/2010
2011-01-08,1/8/2011
2010-03-01,3/1/2010
2010-08-06,8/6/2010
2010-09-04,9/4/2010
2006-09-28,9/28/2006
1982-10-10,10/10/1982
2010-04-03,4/3/2010
2010-03-12,3/12/2010
2010-04-30,4/30/2010
2010-04-23,4/23/2010
2010-04-23,4/23/2010
2010-04-16,4/16/2010
2010-03-20,3/20/2010
2010-05-22,5/22/2010
2010-03-26,3/26/2010
2008-03-26,3/26/2008
2010-04-17,4/17/2010
2010-10-03,10/3/2010
2009-02-25,2/25/2009
2009-02-11,2/11/2009
2009-02-06,2/6/2009
2008-08-27,8/27/2008
1986-06-21,6/21/1986
2010-04-17,4/17/2010
1905-06-30,6/30/1905
2007-10-20,10/20/2007
2010-03-29,3/29/2010
2010-03-27,3/27/2010
2010-03-26,3/26/2010
2006-11-20,11/20/2006
2007-11-23,11/23/2007
2010-05-26,5/26/2010
2010-04-01,4/1/2010
2007-03-17,3/17/2007
2008-05-31,5/31/2008
2010-01-16,1/16/2010
1993-07-24,7/24/1993
1996-04-19,4/19/1996
1998-04-18,4/18/1998
1999-04-17,4/17/1999
2000-04-22,4/22/2000
2003-04-19,4/19/2003
2004-04-17,4/17/2004
2005-04-16,4/16/2005
2006-04-15,4/15/2006
2008-04-19,4/19/2008
2009-04-18,4/18/2009
2010-04-17,4/17/2010
1980-07-26,7/26/1980
1982-10-12,10/12/1982
1977-04-09,4/9/1977
1968-04-05,4/5/1968
2002-08-10,8/10/2002
2010-10-02,10/2/2010
2010-08-25,8/25/2010
2010-03-20,3/20/2010
2010-04-04,4/4/2010
1992-04-07,4/7/1992
1993-11-13,11/13/1993
1997-01-02,1/2/1997
2008-11-26,11/26/2008
2010-03-24,3/24/2010
2010-10-02,10/2/2010
2011-01-08,1/8/2011
2011-01-14,1/14/2011
2002-05-25,5/25/2002
1971-04-03,4/3/1971
2010-02-28,2/28/2010
2009-12-23,12/23/2009
1998-04-25,4/25/1998
1986-09-21,9/21/1986
2004-10-14,10/14/2004
2010-10-08,10/8/2010
1994-07-16,7/16/1994
1988-09-30,9/30/1988
2010-08-08,8/8/2010
2010-10-08,10/8/2010
2010-12-09,12/9/2010
1987-05-09,5/9/1987
2010-06-25,6/25/2010
1985-05-10,5/10/1985
2012-09-29,9/29/2012
2010-10-05,10/5/2010
2010-03-20,3/20/2010
2010-03-26,3/26/2010
2010-06-25,6/25/2010
2010-04-01,4/1/2010
2011-04-29,4/29/2011
2000-07-20,7/20/2000
2006-07-08,7/8/2006
2009-10-03,10/3/2009
1999-03-20,3/20/1999
1974-03-16,3/16/1974
2010-11-06,11/6/2010
1991-12-13,12/13/1991
1982-04-24,4/24/1982
1967-10-02,10/2/1967
1998-02-15,2/15/1998
2010-06-25,6/25/2010
2010-06-26,6/26/2010
2011-07-08,7/8/2011
2010-03-26,3/26/2010
1988-07-11,7/11/1988
1989-04-10,4/10/1989
1990-06-30,6/30/1990
1984-12-22,12/22/1984
1984-07-14,7/14/1984
2010-10-07,10/7/2010
2010-04-01,4/1/2010
2010-03-01,3/1/2010
2006-04-01,4/1/2006
2010-10-09,10/9/2010
2010-04-03,4/3/2010
1996-06-29,6/29/1996
1978-10-14,10/14/1978
1982-07-10,7/10/1982
1985-07-13,7/13/1985
1994-03-12,3/12/1994
1999-03-06,3/6/1999
2007-03-03,3/3/2007
1980-02-02,2/2/1980
1981-02-07,2/7/1981
2010-10-05,10/5/2010
2010-06-25,6/25/2010
